Countries,Global,GDP,Econ,Edu,Health,Poli
United States,0.718,18569100,0.776,1,0.973,0.124
China,0.674,11199145,0.654,0.963,0.918,0.16
Japan,0.657,4939384,0.58,0.991,0.98,0.078
Germany,0.778,3466757,0.72,0.97,0.975,0.447
United Kingdom,0.77,2618886,0.705,0.999,0.971,0.404
France,0.778,2465454,0.683,1,0.977,0.453
India,0.669,2263523,0.376,0.952,0.942,0.407
Italy,0.692,1849970,0.571,0.995,0.967,0.234
Brazil,0.684,1796187,0.655,1,0.98,0.101
Canada,0.769,1529760,0.744,1,0.97,0.361
