Countries,Global,Econ,Edu,Health,Poli
Cuba,0.745,0.629,1,0.97,0.382
Laos,0.703,0.769,0.933,0.974,0.137
Vietnam,0.698,0.738,0.972,0.957,0.124
China,0.674,0.654,0.963,0.918,0.16
