Name,Address,lat,long
Peet's Coffee,"3299 M St NW, Washington, DC 20007",38.90531,-77.0681457
Starbucks,"2400 M St NW, Washington, DC 20037",38.9048637,-77.0545479
Soho Tea & Coffee,"2150 P St NW, Washington, DC 20037",38.9094846,-77.0507525
Starbucks,"2231 Crystal Dr #160, Arlington, VA 22202",38.8538599,-77.0513516
PAUL Columbia Square,"555 13th St NW, Washington, DC",38.8969848,-77.0311654
Starbucks,"1304 F St NW, Washington, DC",38.8969848,-77.0311654
Tryst,"2459 18th St NW, Washington, DC 20009",38.9219709,-77.0442715
