Degree,2010,2011,2012,2013,2014,2015
Less than high school graduate,22792,23002,22728,22676,23104,23668
High school graduate (includes equivalency),33173,33495,33048,32888,33336,33235
Some college or associate's degree,41530,41630,41749,41520,41506,41407
Bachelor's degree,59922,60951,61224,61250,61619,61589
Graduate or professional degree,80111,82216,83141,83609,84137,84006
All,41354,41661,42015,42016,42137,42106
