Year,Number
1969,2
1970,3
1971,1
1972,3
1973,2
1974,1
1975,3
1976,3
1977,3
1978,4
1979,4
1980,4
1981,2
1982,2
1983,2
1984,3
1985,4
1986,5
1987,6
1988,7
1989,6
1990,5
1991,5
1992,5
1993,5
1994,7
1995,10
1996,8
1997,7
1998,7
1999,7
2000,5
2001,5
2002,7
2003,7
2004,8
2005,9
2006,9
2007,11
2008,15
2009,13
2010,16
2011,15
2012,16
2013,13
2014,12
2015,13
2016,17
2017,17
