Year,Number
1969,6
1970,8
1971,9
1972,7
1973,6
1974,6
1975,7
1976,6
1977,7
1978,9
1979,11
1980,10
1981,8
1982,11
1983,12
1984,11
1985,12
1986,10
1987,10
1988,11
1989,9
1990,8
1991,8
1992,9
1993,7
1994,8
1995,4
1996,11
1997,11
1998,8
1999,10
2000,7
2001,7
2002,7
2003,5
2004,6
2005,5
2006,6
2007,4
2008,5
2009,6
2010,4
2011,3
2012,2
2013,3
2014,2
2015,2
2016,2
2017,3
