Year,Number
1969,7
1970,5
1971,8
1972,8
1973,5
1974,4
1975,4
1976,4
1977,3
1978,3
1979,5
1980,4
1981,6
1982,4
1983,4
1984,5
1985,3
1986,4
1987,4
1988,3
1989,4
1990,5
1991,6
1992,7
1993,7
1994,7
1995,3
1996,7
1997,9
1998,8
1999,7
2000,7
2001,8
2002,8
2003,8
2004,7
2005,7
2006,8
2007,7
2008,7
2009,4
2010,5
2011,5
2012,5
2013,6
2014,6
2015,5
2016,5
2017,5
