Year,USA,MO
1997,25929,24473
1998,27488,25516
1999,28611,26390
2000,30587,28006
2001,31524,28786
2002,31800,29343
2003,32677,30358
2004,34300,31724
2005,35888,32716
2006,38127,34429
2007,39804,35841
2008,40873,37401
2009,39379,36417
2010,40144,36606
2011,42332,38016
2012,44200,39933
2013,44765,40663
2014,46129,41613
