Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Puerto_Rico
"2015",717,1146,913,677,1255,1002,1075,1018,1327,1002,879,1438,743,907,745,697,757,675,788,777,1230,1102,783,848,717,746,711,726,973,1000,1192,777,1132,797,709,730,727,907,840,925,790,655,764,882,887,895,1116,1014,643,776,789,456
"2014",715,1131,905,675,1243,969,1069,1012,1302,998,874,1417,738,903,741,689,748,667,786,772,1218,1088,780,835,714,740,696,721,980,1001,1188,774,1117,790,676,729,717,894,832,923,784,648,757,870,875,889,1108,995,630,772,778,462
"2013",705,1098,896,661,1224,939,1056,999,1242,990,860,1380,728,890,730,670,732,655,773,764,1196,1069,768,819,702,727,682,706,986,987,1172,758,1088,776,645,718,699,875,813,918,768,632,742,851,856,875,1087,973,611,759,764,454
"2012",691,1065,891,649,1209,915,1044,985,1200,987,849,1354,720,877,719,655,715,638,762,750,1172,1056,755,802,688,712,667,687,1001,972,1154,736,1061,759,610,710,679,854,794,908,749,617,726,834,839,864,1060,951,594,749,733,449
"2011",674,1017,881,637,1185,883,1020,975,1135,981,835,1313,709,860,704,637,699,623,745,736,1139,1037,742,783,680,693,649,672,1011,956,1131,713,1025,744,584,697,659,830,770,901,728,595,707,814,813,843,1024,923,574,735,708,438
"2010",644,972,856,617,1147,852,982,938,1063,957,808,1260,689,834,683,617,671,601,712,707,1091,1006,723,759,648,667,629,648,998,933,1092,683,977,718,555,678,633,795,739,882,701,574,678,786,781,809,970,882,549,713,666,425
