Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fragile and conflict affected situations,FCS,1245.164082,1294.809781,1331.819477,1372.905788,1401.521655,1453.7164,1344.789655,1396.264628,1440.353163,1455.242729,1461.52806
Finland,FIN,45353.26,47011.6576,49239.19396,49363.6972,45065.75349,46202.41516,47171.02206,46277.55628,45715.64682,45239.3688,45211.69645
Fiji,FJI,3689.067382,3732.003475,3667.452541,3667.860843,3580.397019,3651.966784,3719.88948,3761.710166,3962.684563,4149.778589,4349.504331
France,FRA,40316.80957,40987.5523,41696.69094,41545.29345,40116.37953,40703.34279,41349.19094,41224.72903,41249.45128,41431.03961,41689.70798
"Micronesia, Fed. Sts.",FSM,2808.089326,2817.082881,2774.971974,2719.470864,2759.311576,2838.530729,2900.880182,2916.25925,2806.999773,2703.320892,2794.080254
Gabon,GAB,9693.597146,9071.552957,9299.463906,8715.455716,8449.938711,8754.113376,9060.662673,9212.291554,9407.979792,9508.148029,9598.3034
United Kingdom,GBR,39492.46858,40184.50454,40891.89356,40316.85871,38281.39602,38709.91166,38988.11269,39226.3365,39709.22385,40621.31307,41183.93384
Georgia,GEO,2158.094533,2391.414647,2722.151531,2821.080743,2753.639266,2964.477034,3220.391348,3469.671701,3633.740883,3851.723415,3973.219348
Ghana,GHA,1089.468321,1129.239516,1147.866501,1220.713267,1247.462738,1312.607557,1460.645665,1558.456624,1633.494042,1659.776145,1685.986121
Guinea,GIN,439.7726985,441.5526286,439.732716,451.3213269,440.1069741,438.7513346,445.9445332,453.4131498,453.5832375,445.0249769,434.9324299
"Gambia, The",GMB,524.8652834,514.0996395,516.1185905,528.7267106,545.3248204,562.8517527,521.7709786,535.2671229,543.6038982,531.6388246,539.8934576
Guinea-Bissau,GNB,521.2993837,521.3225977,525.6446225,529.7246901,534.0651536,543.9574108,579.7249818,554.710568,544.840617,544.3604329,556.0432232
Equatorial Guinea,GNQ,15941.64698,16413.54041,18075.17676,20333.94044,19684.69701,17136.44568,17461.55192,18106.33666,16634.76767,15851.13597,13840.83413
Greece,GRC,27698.51061,29176.39287,30054.88939,29874.74345,28514.81009,26917.75898,24495.71113,22830.52678,22251.25729,22479.00875,22578.01548
Grenada,GRD,7837.352095,7499.886455,7936.041405,7984.841525,7430.563894,7365.666659,7393.888306,7280.33653,7421.478541,7933.675121,8391.312214
Greenland,GRL,34814.54352,37394.61565,37763.89839,39281.0092,39870.41744,40532.5081,41147.96763,41831.88037,40827.7825,40629.96252,41435.62543
Guatemala,GTM,2638.29047,2717.763497,2825.138099,2854.071962,2806.980441,2825.52407,2880.414655,2903.397849,2947.972105,3007.900213,3069.043518
Guam,GUM,30592.1608,29375.27625,29576.89604,30054.20285,30111.6816,30700.43401,30693.12748,31257.15694,31760.36113,32042.29119,32020.47909
Guyana,GUY,2431.717108,2561.041712,2747.182404,2807.321603,2902.90153,3026.281212,3179.987658,3315.486451,3465.645297,3573.716172,3662.592726
High income,HIC,38727.82373,39594.29593,40301.49601,40091.51271,38439.09403,39310.39722,39836.96528,40094.69169,40404.98608,40939.69492,41580.3929
"Hong Kong SAR, China",HKG,27688.73953,29446.26297,31081.57319,31553.63653,30711.49469,32549.99823,33888.48634,34064.86872,34960.64898,35657.51612,36191.41529
Honduras,HND,1799.490332,1874.953449,1947.957434,1987.914083,1900.382571,1932.85829,1969.310414,2013.478306,2033.316186,2059.474909,2098.340231
Heavily indebted poor countries (HIPC),HPC,639.7110363,659.9333076,683.6691438,704.8492245,714.9714651,735.022349,748.3409264,769.7463899,790.6622457,811.5441946,829.1931928
Croatia,HRV,13121.18082,13755.23844,14476.67596,14778.90575,13704.44434,13505.74586,13899.29101,13636.87214,13529.4148,13517.83487,13853.41908
Haiti,HTI,688.7029848,693.2629969,705.3883417,700.4833324,711.24624,662.2795182,688.8433867,698.7877652,718.4204652,728.7803218,728.0632246
Hungary,HUN,13042.68653,13566.68849,13648.64194,13794.13832,12908.7228,13025.53379,13289.70744,13144.44611,13459.74628,14042.28147,14518.837
IBRD only,IBD,3477.26351,3719.680878,4006.760895,4190.304155,4235.116891,4506.611248,4736.090149,4917.691261,5110.02192,5286.024987,5433.897905
IDA & IBRD total,IBT,2892.62821,3082.830106,3306.47537,3446.883131,3479.640661,3688.144248,3860.13394,3995.411469,4140.622653,4273.137692,4379.137525
IDA total,IDA,884.8408478,922.9915916,960.960942,988.7086917,1014.684456,1052.003977,1074.879047,1099.97122,1136.241027,1174.362102,1193.683055
IDA blend,IDB,1314.691354,1373.87013,1422.999051,1450.498463,1491.578377,1545.425773,1582.920594,1616.803846,1664.370066,1721.816525,1745.201461
Indonesia,IDN,2519.509842,2621.960398,2750.615143,2876.88504,2970.044131,3113.480635,3262.748613,3415.351267,3560.10658,3692.942875,3827.548307
IDA only,IDX,667.2657,695.0006433,727.8303341,756.3356,774.5497635,803.2148764,818.1601466,838.6315324,869.0577371,897.020825,914.1455396
Isle of Man,IMN,50124.99898,53425.92583,56809.44202,61763.15723,62447.97255,67690.56567,70346.15103,74148.42294,76906.83776,80211.80195,
India,IND,971.2297607,1044.89394,1130.090071,1156.932527,1237.339786,1345.770153,1416.403391,1474.967674,1550.14223,1646.781252,1758.043376
Ireland,IRL,52001.23019,53587.32119,54036.84948,50630.751,47831.12077,48538.58776,48342.50771,47704.04293,48108.70062,51965.89141,64784.09481
"Iran, Islamic Rep.",IRN,5233.185647,5469.098807,5901.125163,5889.047511,5956.510502,6273.378441,6428.940662,5928.524672,5741.465089,5916.289691,5757.830017
Iraq,IRQ,3857.610389,4143.691703,4098.306627,4325.667983,4354.683627,4502.749048,4695.357216,5178.422294,5338.521985,5203.442256,5285.670416
Iceland,ISL,42701.58668,43796.69311,46695.21303,46531.3054,43152.69229,41676.44527,42374.9707,42663.28427,44126.02806,44477.93581,45820.06096
Israel,ISR,27276.18702,28353.01625,29562.74153,29930.69219,29594.51953,30661.99004,31624.27962,31785.25279,32562.93335,32954.23304,33117.96521
Italy,ITA,37238.93608,37872.16826,38236.79663,37585.33743,35363.40094,35849.37364,35994.13461,34885.29597,33887.29846,33615.97151,33911.93384
Jamaica,JAM,4925.489356,5039.630514,5083.822773,5016.018313,4774.793028,4682.728424,4743.015549,4694.438068,4700.1886,4715.83777,4746.500724
Jordan,JOR,3417.730137,3557.302686,3687.233645,3773.187675,3786.533481,3679.190275,3578.777792,3481.67371,3401.076037,3348.826851,3297.894412
Japan,JPN,44393.66274,44995.52151,45687.34575,45165.88716,42724.53491,44507.67639,44538.70809,45276.8287,46249.26351,46466.12297,47082.68859
Kazakhstan,KAZ,7227.982949,7917.195342,8523.766205,8698.423654,8573.772759,9070.649972,9603.59325,9923.81462,10368.66668,10645.45626,10616.67581
Kenya,KEN,868.9228205,900.1005647,935.6565083,912.3767192,917.0438267,967.3400773,998.9983908,1016.827701,1048.269206,1075.638763,1107.918056
Kyrgyz Republic,KGZ,747.5656166,762.5201161,819.8062973,880.2788201,894.8179586,880.0377751,921.1770391,905.1656688,984.2390335,1003.510404,1021.160793
Cambodia,KHM,613.2790099,669.0363309,726.4605796,763.6913923,752.9779185,785.6928841,827.9784081,874.1614887,923.7263408,972.9792448,1024.872343
Kiribati,KIR,1704.105574,1642.734291,1643.156736,1577.919786,1549.004632,1493.16051,1471.552486,1519.480357,1578.875553,1588.756486,1615.805638
St. Kitts and Nevis,KNA,14162.15475,14243.26715,14054.4723,14775.82207,14173.57874,13704.25445,13881.60578,13644.75396,14335.88509,15029.61654,15437.45796
"Korea, Rep.",KOR,18568.36281,19427.18984,20385.32004,20803.50054,20843.1348,22086.95292,22724.70557,23123.76136,23685.40671,24323.57284,24870.7709
Kuwait,KWT,47847.82359,49268.26312,49588.76428,47965.00883,41936.81677,38497.61696,39652.17118,39733.28919,37924.47244,36259.39194,35490.29352
Latin America & Caribbean (excluding high income),LAC,7594.401704,7908.545674,8274.319907,8508.336177,8255.059156,8641.608853,8920.65929,9064.681215,9209.944009,9223.483869,9097.249944
Lao PDR,LAO,842.5676301,900.2754365,952.316936,1009.460775,1067.575917,1141.127115,1215.881729,1296.747884,1383.685515,1470.502367,1556.692888
Lebanon,LBN,6606.291996,6592.544076,7157.550777,7764.058149,8416.443673,8763.826274,8448.214214,8057.985695,7576.210604,7262.24259,7044.607393
Liberia,LBR,279.7962343,292.0377423,307.3996186,315.8760863,319.6557364,327.4205097,343.6464003,361.2325074,383.0794397,376.5888573,367.4759785
Libya,LBY,10653.7844,11175.12987,11707.9854,11856.02054,11631.71901,12120.56217,4578.531815,,,,
St. Lucia,LCA,6892.365053,7287.949404,7275.207264,7492.57958,7387.07552,7196.041342,7161.242585,7017.017875,6988.427902,6984.152151,7087.045118
Latin America & Caribbean,LCN,7902.885093,8223.519721,8583.635747,8815.744729,8556.6821,8943.0981,9226.97043,9377.879628,9530.871797,9550.993459,9434.967943
Least developed countries: UN classification,LDC,617.0825508,653.1226275,697.8556421,732.5517472,750.9920313,777.3871006,788.8358541,804.5892729,832.4938309,857.8533741,870.248631
Low income,LIC,449.5810786,459.6765139,475.4811096,486.0449121,498.7121918,517.8028102,533.2757,538.8289555,554.324382,572.1579049,582.4661991
Sri Lanka,LKA,2149.039083,2296.408798,2434.036923,2559.474309,2630.011898,2819.511161,3033.564963,3286.007722,3371.182716,3506.731828,3642.206901
Lower middle income,LMC,1333.025712,1411.221236,1498.723694,1548.822802,1599.753025,1690.438872,1754.171162,1816.059437,1888.258882,1965.707674,2042.392326
Low & middle income,LMY,2792.170444,2977.990168,3196.844797,3334.501223,3368.313332,3574.057156,3742.031523,3876.289333,4020.775943,4151.695447,4255.756484
Lesotho,LSO,968.4471959,1001.135949,1040.482643,1099.98186,1112.917262,1173.260212,1236.73855,1293.575051,1304.299471,1316.33376,1371.780529
Late-demographic dividend,LTE,4556.915182,4924.321783,5364.982685,5677.75302,5790.002395,6194.903862,6566.620104,6873.651003,7184.656264,7468.655865,7705.71974
Lithuania,LTU,10537.91037,11500.52915,12928.25994,13405.18824,11546.82225,11984.86857,13000.18957,13680.99891,14304.8033,14932.60268,15341.8426
Luxembourg,LUX,101380.7746,104943.4403,111968.3495,108577.3523,101939.6134,104965.3061,105264.7484,102404.6119,104057.7866,107352.7109,109047.3192
Latvia,LVA,10857.39021,12260.21286,13590.50031,13238.43,11529.864,11326.21947,12270.39592,12921.13697,13403.30603,13816.9547,14308.34196
"Macao SAR, China",MAC,34246.07397,37959.23763,42537.7323,43081.26139,42739.34905,52374.79445,62279.49203,66449.11291,72183.5292,69749.13105,53619.52553
Morocco,MAR,2358.443579,2507.674658,2566.216701,2686.228297,2765.856154,2834.20472,2942.038817,2987.31592,3077.315005,3110.20901,3204.753614
Moldova,MDA,1379.875617,1450.134315,1497.103826,1616.95279,1521.855571,1631.535832,1743.488077,1731.510798,1894.780109,1986.94062,1980.267412
Madagascar,MDG,413.8674949,422.1411671,435.7172452,453.6365642,423.3057408,412.7309341,407.3272819,408.3421256,406.3749932,408.6610331,409.9457007
Maldives,MDV,4793.534301,5539.781703,5823.480647,6325.78686,6022.290011,6330.79498,6699.614567,6724.181571,6896.892186,7164.675511,7221.620578
Middle East & North Africa,MEA,6348.392321,6602.547933,6806.801419,6971.46461,6872.150788,7075.594877,7196.658311,7258.518262,7314.724603,7401.899013,7454.974182
Mexico,MEX,8808.563565,9108.06545,9253.317716,9232.197316,8657.836029,8959.581416,9183.328078,9414.906078,9409.965371,9492.550949,9612.964698
Marshall Islands,MHL,2913.92199,2968.659881,3070.707416,3015.78825,2958.456015,3142.609442,3188.194906,3298.554962,3368.057002,3329.448923,3344.503521
Middle income,MIC,3036.683049,3244.130659,3488.099826,3643.38943,3683.04471,3913.22049,4102.847876,4256.51269,4421.1708,4571.057963,4692.532828
"Macedonia, FYR",MKD,3755.036592,3942.436134,4192.948487,4418.267429,4398.773805,4542.904104,4645.515002,4620.637317,4751.901411,4920.216063,5104.777388
Mali,MLI,666.257623,674.7401265,675.4092087,684.4944184,693.5460684,708.3707632,709.3993798,683.0015974,678.7562806,705.7884727,726.248067
Malta,MLT,19585.12427,19870.7522,20590.95219,21142.02081,20466.5636,21087.79469,21291.81431,21675.50989,22443.62165,24080.76256,25599.07908
Myanmar,MMR,603.8320887,677.7036471,753.9518937,826.0946985,907.3623858,987.7365832,1034.77236,1101.206165,1183.279235,1266.124091,1346.045704
Middle East & North Africa (excluding high income),MNA,3497.849856,3634.223515,3797.622064,3873.070539,3919.573643,4061.413671,3965.383571,3913.683154,3905.423153,3953.148464,3937.377585
Montenegro,MNE,5426.69812,5884.243605,6502.393799,6940.200235,6533.567373,6682.281158,6890.773546,6697.44677,6928.37473,7045.118138,7280.766981
Mongolia,MNG,2079.112379,2229.154544,2425.68185,2604.928926,2533.175747,2650.353659,3053.612274,3365.571979,3685.747837,3901.866608,3922.759869
Northern Mariana Islands,MNP,19408.27827,18673.13235,18056.31724,16639.58126,14155.53999,14681.02308,13712.46164,13803.63606,14034.27492,14323.3644,14720.71149
Mozambique,MOZ,339.1322442,361.7450376,377.3832719,391.7101473,404.5950201,419.2258149,436.1431815,454.106824,472.590637,493.2522361,510.7920796
Mauritania,MRT,1083.195286,1251.630177,1251.15439,1229.454399,1182.378382,1203.383675,1223.344614,1256.201983,1293.555499,1326.158668,1306.649643
Mauritius,MUS,6245.196957,6746.886623,7100.861824,7456.369246,7683.124925,8000.376432,8313.271254,8580.085649,8848.887032,9163.633354,9468.940701
Malawi,MWI,373.232125,379.438608,403.4945968,421.2261448,442.5572847,458.8681744,466.9633422,461.8873418,471.8404663,484.3686249,483.628811
Malaysia,MYS,7983.891494,8273.661989,8889.684192,9020.399703,8635.116722,9071.356987,9377.176725,9709.011493,9981.15458,10398.76096,10739.53833
North America,NAC,48608.10518,49432.09429,49847.66816,49289.29888,47481.75506,48289.7003,48758.01098,49426.49577,49919.86756,50716.26858,51565.80344
Namibia,NAM,4454.63476,4715.105966,4968.664034,5036.254699,4978.680002,5191.583081,5351.369745,5502.258873,5681.410298,5909.404592,6082.334195
Niger,NER,326.3317101,332.7108759,330.6332125,349.0046802,333.6902929,348.151511,342.8593084,368.9428442,373.7368746,385.0022346,383.8723041
Nigeria,NGA,1875.029642,1976.708469,2056.838591,2128.666632,2216.499394,2327.32067,2376.638773,2412.860782,2475.948058,2563.092116,2562.522216
Nicaragua,NIC,1429.264574,1464.350519,1518.653199,1550.501295,1480.376529,1526.497938,1603.33429,1687.358679,1750.057433,1812.994742,1879.713021
Netherlands,NLD,48107.58549,49720.39486,51447.25959,52118.09256,49897.22517,50338.25483,50937.55294,50212.96411,49969.85027,50497.2368,51255.11974
Norway,NOR,88519.57474,89912.62667,91594.17935,90807.33734,88214.41741,87646.75346,87355.31247,88585.35967,88394.76079,89080.61599,89619.48724
Nepal,NPL,502.2394279,513.1274616,525.0822526,551.6441032,570.9307893,592.1835216,605.6336526,627.1821221,645.2510105,675.7352885,686.0835484
Nauru,NRU,,,2947.340394,3972.835181,4325.049877,4912.599558,5469.155684,5890.770969,7510.288253,9360.629045,9143.668727
New Zealand,NZL,33494.58053,34016.62029,34674.01024,33996.07724,33555.46567,33691.34837,34194.44559,34771.29407,35350.44378,36006.0215,36191.48478
OECD members,OED,35461.17519,36244.97989,36883.32056,36662.58629,35112.72436,35889.11989,36347.00629,36568.96462,36846.50721,37315.39955,37909.55342
Oman,OMN,17631.93969,18063.25193,18302.31933,19112.19706,19408.63402,19280.74739,17914.02822,18300.32899,17830.34586,17132.08878,17070.95839
Other small states,OSS,9530.143371,10294.73044,11043.97437,11563.45006,11515.23765,12186.30734,12818.84236,12992.19479,13111.16167,13244.932,13289.71189
Pakistan,PAK,974.5372983,1013.765372,1041.289383,1037.575137,1045.207929,1040.142268,1046.493545,1060.50137,1083.967007,1111.195962,1140.002797
Panama,PAN,6114.221205,6522.91813,7173.704151,7653.074747,7638.291041,7937.259931,8719.973863,9360.336256,9810.010945,10229.2269,10642.30205
Peru,PER,3831.364851,4069.777098,4362.948992,4703.079928,4695.675167,5022.493191,5270.948747,5520.559167,5765.887138,5823.964341,5936.01784
Philippines,PHL,1818.315491,1880.192378,1971.281752,2020.150458,2010.799328,2129.499242,2171.492251,2278.635799,2399.607267,2505.818945,2615.659186
Palau,PLW,10713.17907,10364.24964,10305.18193,9675.450168,8748.049411,8978.993649,9372.650463,9598.486278,9292.118377,9607.728556,10411.5547
Papua New Guinea,PNG,1152.094617,1150.193983,1203.13832,1252.578579,1298.837148,1366.879112,1479.189941,1564.074278,1615.458524,1716.489477,
Poland,POL,9950.572675,10572.17619,11322.05462,11801.59225,12126.20345,12599.52486,13224.48196,13436.98353,13632.09438,14090.11941,14641.56794
Pre-demographic dividend,PRE,1135.605276,1195.84535,1245.983367,1294.07054,1319.395202,1359.964472,1380.549795,1413.321471,1448.203881,1474.84925,1484.084661
Puerto Rico,PRI,28775.38779,28640.43723,27850.56374,27510.5109,27007.85691,26435.74019,26237.68366,25820.79,25967.5877,,
Portugal,PRT,22004.79943,22306.28393,22817.32155,22829.84775,22128.84539,22538.65408,22159.4753,21353.23014,21228.08924,21533.46995,21967.59677
Paraguay,PRY,2707.974671,2796.03149,2906.435699,3049.873977,2890.343472,3225.591754,3320.79055,3235.723141,3640.522024,3761.911847,3822.862918
