CarCount,CircuitId,DestinationStationCode,DirectionNum,LineCode,SecondsAtLocation,ServiceType,TrainId,retrieved_on,Track,SeqNum,StationCode,Time,StartTime,TripId
8,868,A15,2,RD,25,Normal,179,1469267375,2,399,B11,2016-07-23 05:49:35,2016-07-23 05:49:35,2016-07-23_0
8,846,A15,2,RD,5,Normal,179,1469267655,2,377,B10,2016-07-23 05:54:15,2016-07-23 05:49:35,2016-07-23_0
6,3377,N06,2,SV,10,Normal,181,1469267970,2,88,N01,2016-07-23 05:59:30,2016-07-23 05:59:30,2016-07-23_1
8,809,A15,2,RD,0,Normal,179,1469267970,2,340,B08,2016-07-23 05:59:30,2016-07-23 05:49:35,2016-07-23_0
6,3370,N06,2,SV,0,Normal,181,1469268030,2,81,N02,2016-07-23 06:00:30,2016-07-23 05:59:30,2016-07-23_1
8,785,A15,2,RD,0,Normal,179,1469268090,2,316,B07,2016-07-23 06:01:30,2016-07-23 05:49:35,2016-07-23_0
6,3359,N06,2,SV,5,Normal,181,1469268125,2,70,N03,2016-07-23 06:02:05,2016-07-23 05:59:30,2016-07-23_1
6,3352,N06,2,SV,0,Normal,181,1469268180,2,63,N04,2016-07-23 06:03:00,2016-07-23 05:59:30,2016-07-23_1
6,1711,K08,2,OR,5,Normal,183,1469268230,2,360,D13,2016-07-23 06:03:50,2016-07-23 06:03:50,2016-07-23_2
8,757,A15,2,RD,0,Normal,179,1469268285,2,288,B06,2016-07-23 06:04:45,2016-07-23 05:49:35,2016-07-23_0
8,527,A15,2,RD,5,Normal,179,1469268521,1,263,B05,2016-07-23 06:08:41,2016-07-23 05:49:35,2016-07-23_0
6,3290,N06,2,SV,0,Normal,181,1469268601,2,1,N06,2016-07-23 06:10:01,2016-07-23 05:59:30,2016-07-23_1
8,513,A15,2,RD,0,Normal,179,1469268601,1,249,B04,2016-07-23 06:10:01,2016-07-23 05:49:35,2016-07-23_0
8,496,A15,2,RD,0,Normal,179,1469268751,1,232,B35,2016-07-23 06:12:31,2016-07-23 05:49:35,2016-07-23_0
8,686,A15,2,RD,0,Normal,179,1469268856,2,217,B03,2016-07-23 06:14:16,2016-07-23 05:49:35,2016-07-23_0
8,677,A15,2,RD,5,Normal,179,1469268936,2,208,B02,2016-07-23 06:15:36,2016-07-23 05:49:35,2016-07-23_0
8,667,A15,2,RD,0,Normal,179,1469268971,2,198,B01,2016-07-23 06:16:11,2016-07-23 05:49:35,2016-07-23_0
6,3155,G05,1,SV,0,Normal,181,1469269011,1,1,N06,2016-07-23 06:16:51,2016-07-23 06:16:51,2016-07-23_3
8,661,A15,2,RD,0,Normal,179,1469269071,2,192,A01,2016-07-23 06:17:51,2016-07-23 05:49:35,2016-07-23_0
8,389,A15,2,RD,0,Normal,179,1469269171,2,180,A02,2016-07-23 06:19:31,2016-07-23 05:49:35,2016-07-23_0
8,378,A15,2,RD,0,Normal,179,1469269221,2,169,A03,2016-07-23 06:20:21,2016-07-23 05:49:35,2016-07-23_0
8,363,A15,2,RD,0,Normal,179,1469269422,2,154,A04,2016-07-23 06:23:42,2016-07-23 05:49:35,2016-07-23_0
8,356,A15,2,RD,5,Normal,179,1469269492,2,147,A05,2016-07-23 06:24:52,2016-07-23 05:49:35,2016-07-23_0
8,346,A15,2,RD,0,Normal,179,1469269557,2,137,A06,2016-07-23 06:25:57,2016-07-23 05:49:35,2016-07-23_0
8,336,A15,2,RD,0,Normal,179,1469269667,2,127,A07,2016-07-23 06:27:47,2016-07-23 05:49:35,2016-07-23_0
8,326,A15,2,RD,0,Normal,179,1469269747,2,117,A08,2016-07-23 06:29:07,2016-07-23 05:49:35,2016-07-23_0
8,309,A15,2,RD,5,Normal,179,1469269912,2,100,A09,2016-07-23 06:31:52,2016-07-23 05:49:35,2016-07-23_0
6,2709,J03,2,BL,10,Normal,189,1469269942,2,31,J02,2016-07-23 06:32:22,2016-07-23 06:32:22,2016-07-23_4
8,294,A15,2,RD,5,Normal,179,1469270057,2,85,A10,2016-07-23 06:34:17,2016-07-23 05:49:35,2016-07-23_0
6,2604,J03,2,BL,0,Normal,189,1469270222,1,1,J03,2016-07-23 06:37:02,2016-07-23 06:32:22,2016-07-23_4
8,278,A15,2,RD,5,Normal,179,1469270237,2,69,A11,2016-07-23 06:37:17,2016-07-23 05:49:35,2016-07-23_0
8,260,A15,2,RD,0,Normal,179,1469270352,2,51,A12,2016-07-23 06:39:12,2016-07-23 05:49:35,2016-07-23_0
6,2774,K08,2,OR,15,Normal,186,1469270468,1,1,K08,2016-07-23 06:41:08,2016-07-23 06:41:08,2016-07-23_5
8,251,A15,2,RD,0,Normal,179,1469270503,2,42,A13,2016-07-23 06:41:43,2016-07-23 05:49:35,2016-07-23_0
6,3377,N06,2,SV,10,Normal,192,1469270663,2,88,N01,2016-07-23 06:44:23,2016-07-23 06:44:23,2016-07-23_6
6,3370,N06,2,SV,0,Normal,192,1469270723,2,81,N02,2016-07-23 06:45:23,2016-07-23 06:44:23,2016-07-23_6
8,232,A15,2,RD,0,Normal,179,1469270733,2,23,A14,2016-07-23 06:45:33,2016-07-23 05:49:35,2016-07-23_0
6,944,C15,2,YL,15,Normal,193,1469270798,1,1,C15,2016-07-23 06:46:38,2016-07-23 06:46:38,2016-07-23_7
6,3359,N06,2,SV,5,Normal,192,1469270828,2,70,N03,2016-07-23 06:47:08,2016-07-23 06:44:23,2016-07-23_6
6,3352,N06,2,SV,5,Normal,192,1469270903,2,63,N04,2016-07-23 06:48:23,2016-07-23 06:44:23,2016-07-23_6
6,2487,J03,2,BL,10,Normal,211,1469270913,1,403,G05,2016-07-23 06:48:33,2016-07-23 06:48:33,2016-07-23_8
8,7,A15,2,RD,0,Normal,179,1469271073,1,1,A15,2016-07-23 06:51:13,2016-07-23 05:49:35,2016-07-23_0
6,1711,K08,2,OR,25,Normal,201,1469271108,2,360,D13,2016-07-23 06:51:48,2016-07-23 06:51:48,2016-07-23_9
6,2118,F11,2,GR,5,Normal,199,1469271158,1,1,F11,2016-07-23 06:52:38,2016-07-23 06:52:38,2016-07-23_10
6,2055,F11,2,GR,10,Normal,200,1469271173,2,283,E10,2016-07-23 06:52:53,2016-07-23 06:52:53,2016-07-23_11
6,3290,N06,2,SV,5,Normal,192,1469271343,2,1,N06,2016-07-23 06:55:43,2016-07-23 06:44:23,2016-07-23_6
6,2557,J03,2,BL,5,Normal,211,1469271373,2,401,G04,2016-07-23 06:56:13,2016-07-23 06:48:33,2016-07-23_8
6,2487,N06,2,SV,5,Normal,327,1469271383,1,433,G05,2016-07-23 06:56:23,2016-07-23 06:56:23,2016-07-23_12
8,7,B11,1,RD,5,Normal,179,1469271398,1,1,A15,2016-07-23 06:56:38,2016-07-23 06:56:38,2016-07-23_13
6,3377,N06,2,SV,10,Normal,202,1469271483,2,88,N01,2016-07-23 06:58:03,2016-07-23 06:58:03,2016-07-23_14
6,2774,D13,1,OR,5,Normal,186,1469271494,1,1,K08,2016-07-23 06:58:14,2016-07-23 06:58:14,2016-07-23_15
6,944,E01,1,YL,5,Normal,193,1469271514,1,1,C15,2016-07-23 06:58:34,2016-07-23 06:58:34,2016-07-23_16
6,2537,J03,2,BL,0,Normal,211,1469271539,2,381,G03,2016-07-23 06:58:59,2016-07-23 06:48:33,2016-07-23_8
6,955,E01,1,YL,0,Normal,193,1469271664,1,12,C14,2016-07-23 07:01:04,2016-07-23 06:58:34,2016-07-23_16
6,2521,J03,2,BL,5,Normal,211,1469271679,2,365,G02,2016-07-23 07:01:19,2016-07-23 06:48:33,2016-07-23_8
8,32,B11,1,RD,5,Normal,179,1469271719,1,26,A14,2016-07-23 07:01:59,2016-07-23 06:56:38,2016-07-23_13
6,2557,N06,2,SV,0,Normal,327,1469271754,2,423,G04,2016-07-23 07:02:34,2016-07-23 06:56:23,2016-07-23_12
6,1692,K08,2,OR,5,Normal,201,1469271754,2,341,D12,2016-07-23 07:02:34,2016-07-23 06:51:48,2016-07-23_9
6,2796,D13,1,OR,0,Normal,186,1469271764,1,23,K07,2016-07-23 07:02:44,2016-07-23 06:58:14,2016-07-23_15
6,969,E01,1,YL,5,Normal,193,1469271789,1,26,C13,2016-07-23 07:03:09,2016-07-23 06:58:34,2016-07-23_16
6,2136,F11,1,GR,5,Normal,199,1469271789,1,19,F10,2016-07-23 07:03:09,2016-07-23 06:52:38,2016-07-23_10
6,2030,F11,2,GR,5,Normal,200,1469271799,2,258,E09,2016-07-23 07:03:19,2016-07-23 06:52:53,2016-07-23_11
