CarCount,CircuitId,DestinationStationCode,DirectionNum,LineCode,SecondsAtLocation,ServiceType,TrainId,retrieved_on,Track,SeqNum,StationCode,Time,StartTime,TripId
6,2574,G05,1,BL,10390,Normal,406,1469952001,2,418,G05,2016-07-31 04:00:01,2016-07-31 04:00:01,2016-07-31_0
6,2574,J03,2,BL,7538,Normal,406,1469960209,2,418,G05,2016-07-31 06:16:49,2016-07-31 06:16:49,2016-07-31_1
6,969,G05,1,BL,5,Normal,358,1469960499,1,74,C13,2016-07-31 06:21:39,2016-07-31 06:21:39,2016-07-31_2
6,976,G05,1,BL,5,Normal,358,1469960559,1,81,C12,2016-07-31 06:22:39,2016-07-31 06:21:39,2016-07-31_2
6,1010,G05,1,BL,0,Normal,358,1469960820,1,115,C10,2016-07-31 06:27:00,2016-07-31 06:21:39,2016-07-31_2
6,1024,G05,1,BL,0,Normal,358,1469960900,1,129,C09,2016-07-31 06:28:20,2016-07-31 06:21:39,2016-07-31_2
6,1036,G05,1,BL,0,Normal,358,1469960980,1,141,C08,2016-07-31 06:29:40,2016-07-31 06:21:39,2016-07-31_2
6,2709,J03,2,BL,46,Normal,359,1469961040,2,31,J02,2016-07-31 06:30:40,2016-07-31 06:30:40,2016-07-31_3
6,1052,G05,1,BL,0,Normal,358,1469961050,1,157,C07,2016-07-31 06:30:50,2016-07-31 06:21:39,2016-07-31_2
6,3377,N06,2,SV,0,Normal,361,1469961070,2,88,N01,2016-07-31 06:31:10,2016-07-31 06:31:10,2016-07-31_4
6,3370,N06,2,SV,5,Normal,361,1469961150,2,81,N02,2016-07-31 06:32:30,2016-07-31 06:31:10,2016-07-31_4
6,3359,N06,2,SV,0,Normal,361,1469961240,2,70,N03,2016-07-31 06:34:00,2016-07-31 06:31:10,2016-07-31_4
6,1070,G05,1,BL,5,Normal,358,1469961280,1,175,C06,2016-07-31 06:34:40,2016-07-31 06:21:39,2016-07-31_2
6,3352,N06,2,SV,5,Normal,361,1469961330,2,63,N04,2016-07-31 06:35:30,2016-07-31 06:31:10,2016-07-31_4
6,3377,N06,2,SV,5,Normal,366,1469961530,2,88,N01,2016-07-31 06:38:50,2016-07-31 06:38:50,2016-07-31_5
6,2604,J03,2,BL,5,Normal,359,1469961570,1,1,J03,2016-07-31 06:39:30,2016-07-31 06:30:40,2016-07-31_3
8,868,A15,2,RD,40,Normal,370,1469961701,2,399,B11,2016-07-31 06:41:41,2016-07-31 06:41:41,2016-07-31_6
6,1148,C15,2,YL,20,Normal,369,1469961781,2,12,C14,2016-07-31 06:43:01,2016-07-31 06:43:01,2016-07-31_7
6,2774,K08,2,OR,30,Normal,360,1469961791,1,1,K08,2016-07-31 06:43:11,2016-07-31 06:43:11,2016-07-31_8
6,2954,K08,2,OR,0,Normal,365,1469961831,2,22,K07,2016-07-31 06:43:51,2016-07-31 06:43:51,2016-07-31_9
6,944,C15,2,YL,5,Normal,369,1469961851,1,1,C15,2016-07-31 06:44:11,2016-07-31 06:43:01,2016-07-31_7
6,3290,N06,2,SV,0,Normal,361,1469961916,2,1,N06,2016-07-31 06:45:16,2016-07-31 06:31:10,2016-07-31_4
6,2574,J03,2,BL,5,Normal,018,1469961921,2,418,G05,2016-07-31 06:45:21,2016-07-31 06:45:21,2016-07-31_10
6,2933,K08,2,OR,0,Normal,365,1469962021,2,1,K08,2016-07-31 06:47:01,2016-07-31 06:43:51,2016-07-31_9
6,1204,J03,2,BL,40,Normal,373,1469962051,2,120,C10,2016-07-31 06:47:31,2016-07-31 06:47:31,2016-07-31_11
6,3370,N06,2,SV,0,Normal,366,1469962371,2,81,N02,2016-07-31 06:52:51,2016-07-31 06:38:50,2016-07-31_5
6,3359,N06,2,SV,0,Normal,366,1469962501,2,70,N03,2016-07-31 06:55:01,2016-07-31 06:38:50,2016-07-31_5
6,1711,K04,2,OR,20,Normal,376,1469962501,2,360,D13,2016-07-31 06:55:01,2016-07-31 06:55:01,2016-07-31_12
6,2055,F11,2,GR,20,Normal,375,1469962531,2,283,E10,2016-07-31 06:55:31,2016-07-31 06:55:31,2016-07-31_13
6,2118,E10,1,GR,15,Normal,374,1469962561,1,1,F11,2016-07-31 06:56:01,2016-07-31 06:56:01,2016-07-31_14
6,2557,J03,2,BL,0,Normal,018,1469962581,2,401,G04,2016-07-31 06:56:21,2016-07-31 06:45:21,2016-07-31_10
6,3352,N06,2,SV,0,Normal,366,1469962611,2,63,N04,2016-07-31 06:56:51,2016-07-31 06:38:50,2016-07-31_5
6,1971,C15,2,YL,10,Normal,368,1469962621,2,226,E06,2016-07-31 06:57:01,2016-07-31 06:57:01,2016-07-31_15
6,944,E01,1,YL,0,Normal,369,1469962661,1,1,C15,2016-07-31 06:57:41,2016-07-31 06:57:41,2016-07-31_16
6,2774,K06,1,OR,0,Normal,360,1469962692,1,1,K08,2016-07-31 06:58:12,2016-07-31 06:58:12,2016-07-31_17
6,1956,C15,2,YL,5,Normal,368,1469962742,2,211,E05,2016-07-31 06:59:02,2016-07-31 06:57:01,2016-07-31_15
6,2537,J03,2,BL,0,Normal,018,1469962742,2,381,G03,2016-07-31 06:59:02,2016-07-31 06:45:21,2016-07-31_10
8,7,B08,1,RD,15,Normal,379,1469962772,1,1,A15,2016-07-31 06:59:32,2016-07-31 06:59:32,2016-07-31_18
6,2574,K04,1,SV,0,Normal,284,1469962802,2,440,G05,2016-07-31 07:00:02,2016-07-31 07:00:02,2016-07-31_19
6,1137,C15,2,YL,5,Normal,377,1469962812,2,1,C15,2016-07-31 07:00:12,2016-07-31 07:00:12,2016-07-31_20
6,2487,G05,1,BL,35,Normal,406,1469962822,1,403,G05,2016-07-31 07:00:22,2016-07-31 07:00:22,2016-07-31_21
6,1942,C15,2,YL,0,Normal,368,1469962832,2,197,E04,2016-07-31 07:00:32,2016-07-31 06:57:01,2016-07-31_15
6,955,E01,1,YL,0,Normal,369,1469962852,1,12,C14,2016-07-31 07:00:52,2016-07-31 06:57:41,2016-07-31_16
6,3155,G05,1,SV,5,Normal,361,1469962872,1,1,N06,2016-07-31 07:01:12,2016-07-31 07:01:12,2016-07-31_22
6,2521,J03,2,BL,0,Normal,018,1469962872,2,365,G02,2016-07-31 07:01:12,2016-07-31 06:45:21,2016-07-31_10
6,1932,C15,2,YL,0,Normal,368,1469962922,2,187,E03,2016-07-31 07:02:02,2016-07-31 06:57:01,2016-07-31_15
6,2136,E10,1,GR,5,Normal,374,1469962942,1,19,F10,2016-07-31 07:02:22,2016-07-31 06:56:01,2016-07-31_14
6,2030,F11,2,GR,5,Normal,375,1469962962,2,258,E09,2016-07-31 07:02:42,2016-07-31 06:55:31,2016-07-31_13
6,969,E01,1,YL,0,Normal,369,1469962972,1,26,C13,2016-07-31 07:02:52,2016-07-31 06:57:41,2016-07-31_16
6,1692,K04,2,OR,5,Normal,376,1469962982,2,341,D12,2016-07-31 07:03:02,2016-07-31 06:55:01,2016-07-31_12
6,2557,K04,2,SV,0,Normal,284,1469962992,2,423,G04,2016-07-31 07:03:12,2016-07-31 07:00:02,2016-07-31_19
6,1923,C15,2,YL,0,Normal,368,1469963012,2,178,E02,2016-07-31 07:03:32,2016-07-31 06:57:01,2016-07-31_15
8,32,B08,1,RD,0,Normal,379,1469963012,1,26,A14,2016-07-31 07:03:32,2016-07-31 06:59:32,2016-07-31_18
6,2796,K06,1,OR,0,Normal,360,1469963052,1,23,K07,2016-07-31 07:04:12,2016-07-31 06:58:12,2016-07-31_17
6,2506,J03,2,BL,0,Normal,018,1469963052,2,350,G01,2016-07-31 07:04:12,2016-07-31 06:45:21,2016-07-31_10
6,976,E01,1,YL,5,Normal,369,1469963087,1,33,C12,2016-07-31 07:04:47,2016-07-31 06:57:41,2016-07-31_16
6,3290,N06,2,SV,5,Normal,366,1469963087,2,1,N06,2016-07-31 07:04:47,2016-07-31 06:38:50,2016-07-31_5
6,2154,E10,1,GR,0,Normal,374,1469963122,1,37,F09,2016-07-31 07:05:22,2016-07-31 06:56:01,2016-07-31_14
6,2537,K04,2,SV,0,Normal,284,1469963162,2,403,G03,2016-07-31 07:06:02,2016-07-31 07:00:02,2016-07-31_19
6,1670,K04,2,OR,0,Normal,376,1469963162,2,319,D11,2016-07-31 07:06:02,2016-07-31 06:55:01,2016-07-31_12
6,2009,F11,2,GR,5,Normal,375,1469963192,2,237,E08,2016-07-31 07:06:32,2016-07-31 06:55:31,2016-07-31_13
6,2170,E10,1,GR,5,Normal,374,1469963282,1,53,F08,2016-07-31 07:08:02,2016-07-31 06:56:01,2016-07-31_14
6,2521,K04,2,SV,0,Normal,284,1469963292,2,387,G02,2016-07-31 07:08:12,2016-07-31 07:00:02,2016-07-31_19
8,846,A15,2,RD,5,Normal,370,1469963292,2,377,B10,2016-07-31 07:08:12,2016-07-31 06:41:41,2016-07-31_6
6,1657,K04,2,OR,0,Normal,376,1469963312,2,306,D10,2016-07-31 07:08:32,2016-07-31 06:55:01,2016-07-31_12
6,1992,F11,2,GR,0,Normal,375,1469963322,2,220,E07,2016-07-31 07:08:42,2016-07-31 06:55:31,2016-07-31_13
6,1618,J03,2,BL,5,Normal,018,1469963342,2,321,D08,2016-07-31 07:09:02,2016-07-31 06:45:21,2016-07-31_10
6,1010,E01,1,YL,5,Normal,369,1469963372,1,67,C10,2016-07-31 07:09:32,2016-07-31 06:57:41,2016-07-31_16
6,2183,E10,1,GR,0,Normal,374,1469963412,1,66,F07,2016-07-31 07:10:12,2016-07-31 06:56:01,2016-07-31_14
8,251,B08,1,RD,0,Normal,379,1469963432,2,42,A13,2016-07-31 07:10:32,2016-07-31 06:59:32,2016-07-31_18
6,2506,K04,2,SV,0,Normal,284,1469963442,2,372,G01,2016-07-31 07:10:42,2016-07-31 07:00:02,2016-07-31_19
6,1643,K04,2,OR,5,Normal,376,1469963442,2,292,D09,2016-07-31 07:10:42,2016-07-31 06:55:01,2016-07-31_12
8,828,A15,2,RD,0,Normal,370,1469963452,2,359,B09,2016-07-31 07:10:52,2016-07-31 06:41:41,2016-07-31_6
6,1610,J03,2,BL,0,Normal,018,1469963462,2,313,D07,2016-07-31 07:11:02,2016-07-31 06:45:21,2016-07-31_10
6,2870,D13,1,OR,0,Normal,362,1469963492,1,97,K04,2016-07-31 07:11:32,2016-07-31 07:11:32,2016-07-31_23
6,1971,F11,2,GR,0,Normal,375,1469963502,2,199,E06,2016-07-31 07:11:42,2016-07-31 06:55:31,2016-07-31_13
6,1024,E01,1,YL,5,Normal,369,1469963522,1,81,C09,2016-07-31 07:12:02,2016-07-31 06:57:41,2016-07-31_16
6,3214,G05,1,SV,0,Normal,361,1469963542,1,60,N04,2016-07-31 07:12:22,2016-07-31 07:01:12,2016-07-31_22
6,2199,E10,1,GR,0,Normal,374,1469963577,1,82,F06,2016-07-31 07:12:57,2016-07-31 06:56:01,2016-07-31_14
8,260,B08,1,RD,5,Normal,379,1469963582,2,51,A12,2016-07-31 07:13:02,2016-07-31 06:59:32,2016-07-31_18
8,2118,E10,1,GR,10,Normal,387,1469963582,1,1,F11,2016-07-31 07:13:02,2016-07-31 07:13:02,2016-07-31_24
6,1598,J03,2,BL,5,Normal,018,1469963582,2,301,D06,2016-07-31 07:13:02,2016-07-31 06:45:21,2016-07-31_10
6,2055,F11,2,GR,10,Normal,388,1469963592,2,283,E10,2016-07-31 07:13:12,2016-07-31 07:13:12,2016-07-31_25
6,2487,J03,1,BL,5,Normal,406,1469963592,1,403,G05,2016-07-31 07:13:12,2016-07-31 07:13:12,2016-07-31_26
6,2886,D13,1,OR,0,Normal,362,1469963602,1,113,K03,2016-07-31 07:13:22,2016-07-31 07:11:32,2016-07-31_23
6,2255,F11,2,GR,5,Normal,364,1469963612,2,1,F11,2016-07-31 07:13:32,2016-07-31 07:13:32,2016-07-31_27
6,1137,E01,1,YL,0,Normal,377,1469963627,2,1,C15,2016-07-31 07:13:47,2016-07-31 07:13:47,2016-07-31_28
6,1036,E01,1,YL,5,Normal,369,1469963632,1,93,C08,2016-07-31 07:13:52,2016-07-31 06:57:41,2016-07-31_16
6,2574,K04,1,SV,0,Normal,062,1469963632,2,440,G05,2016-07-31 07:13:52,2016-07-31 07:13:52,2016-07-31_29
