CarCount,CircuitId,DestinationStationCode,DirectionNum,LineCode,SecondsAtLocation,ServiceType,TrainId,retrieved_on,Track,SeqNum,StationCode,Time,StartTime,TripId
8,868,A15,2,RD,30,Normal,121,1469872111,2,399,B11,2016-07-30 05:48:31,2016-07-30 05:48:31,2016-07-30_0
8,846,A15,2,RD,5,Normal,121,1469872491,2,377,B10,2016-07-30 05:54:51,2016-07-30 05:48:31,2016-07-30_0
8,828,A15,2,RD,5,Normal,121,1469872651,2,359,B09,2016-07-30 05:57:31,2016-07-30 05:48:31,2016-07-30_0
8,809,A15,2,RD,0,Normal,121,1469872831,2,340,B08,2016-07-30 06:00:31,2016-07-30 05:48:31,2016-07-30_0
8,785,A15,2,RD,5,Normal,121,1469872997,2,316,B07,2016-07-30 06:03:17,2016-07-30 05:48:31,2016-07-30_0
8,757,A15,2,RD,5,Normal,121,1469873232,2,288,B06,2016-07-30 06:07:12,2016-07-30 05:48:31,2016-07-30_0
8,731,A15,2,RD,0,Normal,121,1469873412,2,262,B05,2016-07-30 06:10:12,2016-07-30 05:48:31,2016-07-30_0
8,717,A15,2,RD,0,Normal,121,1469873522,2,248,B04,2016-07-30 06:12:02,2016-07-30 05:48:31,2016-07-30_0
6,969,J03,1,BL,5,Normal,125,1469873592,1,74,C13,2016-07-30 06:13:12,2016-07-30 06:13:12,2016-07-30_1
8,700,A15,2,RD,0,Normal,121,1469873682,2,231,B35,2016-07-30 06:14:42,2016-07-30 05:48:31,2016-07-30_0
6,976,J03,1,BL,0,Normal,125,1469873702,1,81,C12,2016-07-30 06:15:02,2016-07-30 06:13:12,2016-07-30_1
6,2487,J03,2,BL,21,Normal,177,1469873722,1,403,G05,2016-07-30 06:15:22,2016-07-30 06:15:22,2016-07-30_2
8,686,A15,2,RD,0,Normal,121,1469873777,2,217,B03,2016-07-30 06:16:17,2016-07-30 05:48:31,2016-07-30_0
8,677,A15,2,RD,5,Normal,121,1469873872,2,208,B02,2016-07-30 06:17:52,2016-07-30 05:48:31,2016-07-30_0
8,667,A15,2,RD,5,Normal,121,1469873932,2,198,B01,2016-07-30 06:18:52,2016-07-30 05:48:31,2016-07-30_0
8,3377,N06,2,SV,15,Normal,128,1469873978,2,88,N01,2016-07-30 06:19:38,2016-07-30 06:19:38,2016-07-30_3
8,661,A15,2,RD,5,Normal,121,1469873987,2,192,A01,2016-07-30 06:19:47,2016-07-30 05:48:31,2016-07-30_0
8,3370,N06,2,SV,0,Normal,128,1469874048,2,81,N02,2016-07-30 06:20:48,2016-07-30 06:19:38,2016-07-30_3
8,389,A15,2,RD,5,Normal,121,1469874113,2,180,A02,2016-07-30 06:21:53,2016-07-30 05:48:31,2016-07-30_0
8,3359,N06,2,SV,0,Normal,128,1469874143,2,70,N03,2016-07-30 06:22:23,2016-07-30 06:19:38,2016-07-30_3
8,378,A15,2,RD,0,Normal,121,1469874193,2,169,A03,2016-07-30 06:23:13,2016-07-30 05:48:31,2016-07-30_0
8,3352,N06,2,SV,0,Normal,128,1469874228,2,63,N04,2016-07-30 06:23:48,2016-07-30 06:19:38,2016-07-30_3
8,363,A15,2,RD,5,Normal,121,1469874423,2,154,A04,2016-07-30 06:27:03,2016-07-30 05:48:31,2016-07-30_0
6,2954,K08,2,OR,10,Normal,126,1469874443,2,22,K07,2016-07-30 06:27:23,2016-07-30 06:27:23,2016-07-30_4
8,356,A15,2,RD,0,Normal,121,1469874553,2,147,A05,2016-07-30 06:29:13,2016-07-30 05:48:31,2016-07-30_0
6,2487,J03,2,BL,20,Normal,285,1469874588,1,403,G05,2016-07-30 06:29:48,2016-07-30 06:29:48,2016-07-30_5
8,346,A15,2,RD,5,Normal,121,1469874633,2,137,A06,2016-07-30 06:30:33,2016-07-30 05:48:31,2016-07-30_0
6,2774,K08,2,OR,5,Normal,126,1469874693,1,1,K08,2016-07-30 06:31:33,2016-07-30 06:27:23,2016-07-30_4
8,3290,N06,2,SV,0,Normal,128,1469874703,2,1,N06,2016-07-30 06:31:43,2016-07-30 06:19:38,2016-07-30_3
8,336,A15,2,RD,5,Normal,121,1469874768,2,127,A07,2016-07-30 06:32:48,2016-07-30 05:48:31,2016-07-30_0
6,2709,J03,2,BL,20,Normal,131,1469874773,2,31,J02,2016-07-30 06:32:53,2016-07-30 06:32:53,2016-07-30_6
8,326,A15,2,RD,0,Normal,121,1469874853,2,117,A08,2016-07-30 06:34:13,2016-07-30 05:48:31,2016-07-30_0
6,2055,F11,2,GR,10,Normal,133,1469874923,2,283,E10,2016-07-30 06:35:23,2016-07-30 06:35:23,2016-07-30_7
8,2118,E10,1,GR,5,Normal,134,1469874984,1,1,F11,2016-07-30 06:36:24,2016-07-30 06:36:24,2016-07-30_8
6,2954,K08,2,OR,10,Normal,130,1469875004,2,22,K07,2016-07-30 06:36:44,2016-07-30 06:36:44,2016-07-30_9
8,309,A15,2,RD,0,Normal,121,1469875034,2,100,A09,2016-07-30 06:37:14,2016-07-30 05:48:31,2016-07-30_0
8,294,A15,2,RD,5,Normal,121,1469875154,2,85,A10,2016-07-30 06:39:14,2016-07-30 05:48:31,2016-07-30_0
6,2604,J03,2,BL,0,Normal,131,1469875164,1,1,J03,2016-07-30 06:39:24,2016-07-30 06:32:53,2016-07-30_6
8,278,A15,2,RD,0,Normal,121,1469875354,2,69,A11,2016-07-30 06:42:34,2016-07-30 05:48:31,2016-07-30_0
6,2933,K08,2,OR,5,Normal,130,1469875354,2,1,K08,2016-07-30 06:42:34,2016-07-30 06:36:44,2016-07-30_9
8,2136,E10,1,GR,5,Normal,134,1469875434,1,19,F10,2016-07-30 06:43:54,2016-07-30 06:36:24,2016-07-30_8
6,2030,F11,2,GR,0,Normal,133,1469875454,2,258,E09,2016-07-30 06:44:14,2016-07-30 06:35:23,2016-07-30_7
6,2604,G05,1,BL,0,Normal,131,1469875514,1,1,J03,2016-07-30 06:45:14,2016-07-30 06:45:14,2016-07-30_10
6,2055,F11,2,GR,10,Normal,135,1469875534,2,283,E10,2016-07-30 06:45:34,2016-07-30 06:45:34,2016-07-30_11
8,2154,E10,1,GR,5,Normal,134,1469875574,1,37,F09,2016-07-30 06:46:14,2016-07-30 06:36:24,2016-07-30_8
6,2574,E10,1,BL,20,Normal,177,1469875619,2,418,G05,2016-07-30 06:46:59,2016-07-30 06:46:59,2016-07-30_12
6,2574,G05,1,BL,5,Normal,177,1469875634,2,418,G05,2016-07-30 06:47:14,2016-07-30 06:47:14,2016-07-30_13
8,260,A15,2,RD,0,Normal,121,1469875655,2,51,A12,2016-07-30 06:47:35,2016-07-30 05:48:31,2016-07-30_0
6,2009,F11,2,GR,0,Normal,133,1469875679,2,237,E08,2016-07-30 06:47:59,2016-07-30 06:35:23,2016-07-30_7
8,2170,E10,1,GR,5,Normal,134,1469875704,1,53,F08,2016-07-30 06:48:24,2016-07-30 06:36:24,2016-07-30_8
8,251,A15,2,RD,5,Normal,121,1469875774,2,42,A13,2016-07-30 06:49:34,2016-07-30 05:48:31,2016-07-30_0
6,1992,F11,2,GR,0,Normal,133,1469875834,2,220,E07,2016-07-30 06:50:34,2016-07-30 06:35:23,2016-07-30_7
6,3377,N06,2,SV,10,Normal,136,1469875849,2,88,N01,2016-07-30 06:50:49,2016-07-30 06:50:49,2016-07-30_14
6,2574,J03,2,BL,5,Normal,177,1469875869,2,418,G05,2016-07-30 06:51:09,2016-07-30 06:51:09,2016-07-30_15
