CarCount,CircuitId,DestinationStationCode,DirectionNum,LineCode,SecondsAtLocation,ServiceType,TrainId,retrieved_on,Track,SeqNum,StationCode,Time,StartTime,TripId
6,955,E06,1,YL,40,Normal,494,1469804918,1,12,C14,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_0
6,1024,E06,1,YL,40,Normal,428,1469804918,1,81,C09,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_1
6,2241,E06,1,YL,30,Normal,036,1469804918,1,143,F02,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_2
6,1246,C15,2,YL,51,Normal,461,1469804918,2,110,C07,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_3
6,1568,K04,2,SV,61,Normal,030,1469804918,2,293,D03,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_4
6,1393,G05,1,SV,51,Normal,206,1469804918,1,286,D02,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_5
6,2420,G05,1,SV,35,Normal,039,1469804918,1,366,G01,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_6
6,629,B11,1,RD,56,Normal,404,1469804918,1,365,B10,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_7
6,95,B11,1,RD,51,Normal,224,1469804918,1,89,A10,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_8
6,571,B11,1,RD,40,Normal,154,1469804918,1,307,B07,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_9
6,142,B11,1,RD,20,Normal,097,1469804918,1,136,A06,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_10
6,477,B11,1,RD,35,Normal,029,1469804918,1,213,B02,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_11
6,203,B08,1,RD,0,Normal,087,1469804918,1,197,A01,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_12
6,485,B08,1,RD,51,Normal,064,1469804918,1,221,B03,2016-07-29 11:08:38,2016-07-29 11:08:38,2016-07-29_13
